Plataforma,Ventas_japonesas,Calificacion_critica
PS3,40000.0,75.0
PS3,30000.0,85.0
PS3,90000.0,75.0
PS3,450000.0,66.0
PS3,10000.0,87.0
PS3,30000.0,80.0
PS3,50000.0,83.0
PS3,50000.0,81.0
PS3,30000.0,86.0
PS3,20000.0,84.0
PS3,10000.0,54.0
PS3,10000.0,87.0
PS3,20000.0,55.0
PS3,40000.0,70.0
PS3,450000.0,77.0
PS3,60000.0,70.0
PS3,40000.0,74.0
PS3,510000.0,78.0
PS3,630000.0,78.0
PS3,90000.0,79.0
PS3,10000.0,79.0
PS3,200000.0,68.0
PS3,60000.0,84.0
PS3,10000.0,78.0
PS3,150000.0,77.0
PS3,360000.0,64.0
PS3,20000.0,80.0
PS3,460000.0,57.0
PS3,20000.0,81.0
PS3,50000.0,76.0
PS3,40000.0,70.0
PS3,40000.0,67.0
PS3,10000.0,78.0
PS3,10000.0,73.0
PS3,30000.0,77.0
PS3,20000.0,72.0
PS3,90000.0,81.0
PS3,180000.0,71.0
PS3,130000.0,82.0
PS3,80000.0,83.0
PS3,10000.0,74.0
PS3,10000.0,84.0
PS3,450000.0,71.0
PS3,10000.0,83.0
PS3,10000.0,84.0
PS3,50000.0,60.0
PS3,100000.0,84.0
PS3,50000.0,82.0
PS3,110000.0,74.0
PS3,10000.0,63.0
PS3,110000.0,60.0
PS3,190000.0,85.0
PS3,40000.0,53.0
PS3,10000.0,85.0
PS3,110000.0,57.0
PS3,60000.0,55.0
PS3,70000.0,81.0
PS3,10000.0,67.0
PS3,220000.0,74.0
PS3,20000.0,85.0
PS3,220000.0,77.0
PS3,240000.0,72.0
PS3,240000.0,86.0
PS3,10000.0,72.0
PS3,140000.0,74.0
PS3,220000.0,74.0
PS3,20000.0,81.0
PS3,410000.0,59.0
PS3,200000.0,79.0
PS3,20000.0,65.0
PS3,10000.0,75.0
PS3,10000.0,85.0
PS3,20000.0,60.0
PS3,10000.0,67.0
PS3,110000.0,67.0
PS3,10000.0,76.0
PS3,550000.0,60.0
PS3,420000.0,71.0
PS3,10000.0,63.0
PS3,400000.0,61.0
PS3,200000.0,74.0
PS3,70000.0,67.0
PS3,10000.0,73.0
PS3,270000.0,60.0
PS3,10000.0,76.0
PS3,10000.0,70.0
PS3,570000.0,70.0
PS3,200000.0,68.0
PS3,10000.0,73.0
PS3,10000.0,70.0
PS3,110000.0,84.0
PS3,50000.0,77.0
PS3,80000.0,70.0
PS3,90000.0,58.0
PS3,420000.0,64.0
PS3,70000.0,62.0
PS3,340000.0,68.0
PS3,590000.0,83.0
PS3,270000.0,66.0
PS3,40000.0,70.0
PS3,500000.0,71.0
PS3,60000.0,87.0
PS3,140000.0,80.0
PS3,30000.0,77.0
PS3,50000.0,74.0
PS3,20000.0,84.0
PS3,10000.0,80.0
PS3,40000.0,77.0
PS3,30000.0,77.0
PS3,360000.0,58.0
PS3,10000.0,81.0
PS3,70000.0,58.0
PS3,170000.0,82.0
PS3,10000.0,43.0
PS3,10000.0,83.0
PS3,10000.0,76.0
PS3,20000.0,75.0
PS3,110000.0,78.0
PS3,220000.0,58.0
PS3,80000.0,53.0
PS3,20000.0,76.0
PS3,320000.0,54.0
PS3,70000.0,58.0
PS3,310000.0,60.0
PS3,10000.0,72.0
PS3,10000.0,79.0
PS3,60000.0,70.0
PS3,40000.0,64.0
PS3,30000.0,71.0
PS3,10000.0,74.0
PS3,30000.0,69.0
PS3,70000.0,80.0
PS3,110000.0,58.0
PS3,90000.0,73.0
PS3,70000.0,45.0
PS3,210000.0,74.0
PS3,90000.0,73.0
PS3,30000.0,80.0
PS3,30000.0,70.0
PS3,90000.0,81.0
PS3,20000.0,62.0
PS3,90000.0,87.0
PS3,60000.0,74.0
PS3,30000.0,93.0
PS3,60000.0,71.0
PS3,240000.0,65.0
PS3,30000.0,71.0
PS3,10000.0,82.0
PS3,10000.0,77.0
PS3,10000.0,71.0
PS3,270000.0,69.0
PS3,150000.0,62.0
PS3,10000.0,60.0
PS3,20000.0,75.0
PS3,30000.0,52.0
PS3,140000.0,72.0
PS3,100000.0,72.0
PS3,70000.0,67.0
PS3,30000.0,70.0
PS3,50000.0,75.0
PS3,190000.0,61.0
PS3,10000.0,41.0
PS3,60000.0,54.0
PS3,140000.0,83.0
PS3,40000.0,77.0
PS3,300000.0,49.0
PS3,110000.0,58.0
PS3,70000.0,64.0
PS3,10000.0,61.0
PS3,30000.0,77.0
PS3,10000.0,72.0
PS3,190000.0,73.0
PS3,140000.0,58.0
PS3,20000.0,60.0
PS3,80000.0,78.0
PS3,60000.0,71.0
PS3,10000.0,58.0
PS3,90000.0,78.0
PS3,40000.0,77.0
PS3,10000.0,63.0
PS3,160000.0,64.0
PS3,140000.0,70.0
PS3,260000.0,74.0
PS3,20000.0,80.0
PS3,10000.0,71.0
PS3,20000.0,57.0
PS3,100000.0,78.0
PS3,10000.0,77.0
PS3,130000.0,61.0
PS3,20000.0,73.0
PS3,230000.0,64.0
PS3,50000.0,52.0
PS3,70000.0,55.0
PS3,110000.0,62.0
PS3,50000.0,64.0
PS3,10000.0,47.0
PS3,80000.0,63.0
PS3,100000.0,74.0
PS3,60000.0,61.0
PS3,60000.0,71.0
PS3,140000.0,33.0
PS3,100000.0,53.0
PS3,10000.0,36.0
PS3,10000.0,68.0
PS3,120000.0,86.0
PS3,80000.0,63.0
PS3,20000.0,58.0
PS3,100000.0,73.0
PS3,90000.0,65.0
PS3,20000.0,63.0
PS3,160000.0,58.0
PS3,40000.0,72.0
PS3,20000.0,43.0
PS3,10000.0,72.0
PS3,100000.0,62.0
PS3,70000.0,44.0
PS3,90000.0,65.0
PS3,80000.0,76.0
PS3,10000.0,75.0
PS3,30000.0,62.0
PS3,60000.0,42.0
PS3,10000.0,45.0
PS3,90000.0,66.0
PS3,60000.0,55.0
PS3,30000.0,57.0
PS3,60000.0,67.0
PS3,110000.0,68.0
PS3,80000.0,55.0
PS3,60000.0,65.0
PS3,110000.0,90.0
PS3,40000.0,56.0
PS3,20000.0,40.0
PS3,30000.0,55.0
PS3,140000.0,63.0
PS3,130000.0,84.0
PS3,20000.0,50.0
PS3,10000.0,50.0
PS3,30000.0,50.0
PS3,120000.0,66.0
PS3,60000.0,70.0
PS3,50000.0,75.0
PS3,30000.0,56.0
PS3,10000.0,53.0
PS3,40000.0,80.0
PS3,10000.0,44.0
PS3,90000.0,73.0
PS3,30000.0,67.0
PS3,60000.0,55.0
PS3,40000.0,57.0
PS3,60000.0,74.0
PS3,20000.0,83.0
PS3,20000.0,64.0
PS3,40000.0,68.0
PS3,30000.0,80.0
PS3,30000.0,77.0
PS3,20000.0,65.0
PS3,20000.0,69.0
